url,page_type,depth,incoming_links,status
/puppies/baxter-male-1,STRONG_INDEXABLE,2,2,200
/puppies/archie-male,STRONG_INDEXABLE,2,2,200
/puppies/trixie-female,STRONG_INDEXABLE,2,2,200
/puppies/chloe-female-5,STRONG_INDEXABLE,2,2,200
/puppies/tory-male-1,STRONG_INDEXABLE,2,2,200
/puppies/zephyr-male,STRONG_INDEXABLE,2,2,200
/puppies/chico-male,STRONG_INDEXABLE,2,2,200
/puppies/decter-male,STRONG_INDEXABLE,2,2,200
/puppies/lola-female,STRONG_INDEXABLE,2,2,200
/puppies/teddy-female,STRONG_INDEXABLE,2,2,200
/puppies/velvet-female-2,STRONG_INDEXABLE,2,2,200
/puppies/maggie-female-4,STRONG_INDEXABLE,2,2,200
/puppies/gigi-female-5,STRONG_INDEXABLE,2,2,200
/puppies/wrinkles-female,STRONG_INDEXABLE,2,2,200
/puppies/diana-female-2,STRONG_INDEXABLE,2,2,200
/puppies/kofi-male-3,STRONG_INDEXABLE,2,2,200
/puppies/oreo-male-1,STRONG_INDEXABLE,2,2,200
/puppies/marco-male-2,STRONG_INDEXABLE,2,2,200
/puppies/cloud-female-2,STRONG_INDEXABLE,2,2,200
/puppies/biscuit-male-2,STRONG_INDEXABLE,2,2,200
/puppies/milo-male-7,STRONG_INDEXABLE,2,2,200
/puppies/stella-female-4,STRONG_INDEXABLE,2,2,200
/puppies/arlo-male-1,STRONG_INDEXABLE,2,2,200
/puppies/puff-female-3,STRONG_INDEXABLE,2,2,200
/puppies/teddy-male-3,STRONG_INDEXABLE,2,2,200
/puppies/amelia-female-4,STRONG_INDEXABLE,2,2,200
/puppies/dolores-female-2,STRONG_INDEXABLE,2,2,200
/puppies/liliana-female,STRONG_INDEXABLE,2,2,200
/puppies/gucci-female-1,STRONG_INDEXABLE,2,2,200
/puppies/marshmallow-male,STRONG_INDEXABLE,2,2,200
/puppies/mochi-female-3,STRONG_INDEXABLE,2,2,200
/puppies/hugo-male-3,STRONG_INDEXABLE,2,2,200
/puppies/jessica-female-8,STRONG_INDEXABLE,2,2,200
/puppies/ewan-male-3,STRONG_INDEXABLE,2,2,200
/puppies/gigi-female-4,STRONG_INDEXABLE,2,2,200
/puppies/nutella-female,STRONG_INDEXABLE,2,2,200
/puppies/rose-female-1,STRONG_INDEXABLE,2,2,200
/puppies/luna-female,STRONG_INDEXABLE,2,2,200
/puppies/dolly-female-2,STRONG_INDEXABLE,2,2,200
/puppies/thor-male-2,STRONG_INDEXABLE,2,2,200
/puppies/cinnamon-female-3,STRONG_INDEXABLE,2,2,200
/puppies/lala-female-3,STRONG_INDEXABLE,2,2,200
/puppies/hazel-female-1,STRONG_INDEXABLE,2,2,200
/puppies/pomy-female-1,STRONG_INDEXABLE,2,2,200
/puppies/coco-female-6,STRONG_INDEXABLE,2,2,200
/puppies/toby-male-7,STRONG_INDEXABLE,2,2,200
/puppies/sammy-male,STRONG_INDEXABLE,2,2,200
/puppies/jessica-female-7,STRONG_INDEXABLE,2,2,200
/puppies/misty-female,STRONG_INDEXABLE,2,2,200
/puppies/bagel-male-1,STRONG_INDEXABLE,2,2,200
/puppies/chloe-female-4,STRONG_INDEXABLE,2,2,200
/puppies/arthur-male-1,STRONG_INDEXABLE,2,2,200
/puppies/poodles,STRONG_INDEXABLE,2,2,200
/puppies/mochi-female-2,STRONG_INDEXABLE,2,2,200
/puppies/jessica-female-6,STRONG_INDEXABLE,2,2,200
/puppies/boomer-male,STRONG_INDEXABLE,2,2,200
/puppies/toby-male-6,STRONG_INDEXABLE,2,2,200
/puppies/puffin-female-2,STRONG_INDEXABLE,2,2,200
/puppies/felix-male,STRONG_INDEXABLE,2,2,200
/puppies/piper-male-3,STRONG_INDEXABLE,2,2,200
/puppies/stella-female-3,STRONG_INDEXABLE,2,2,200
/puppies/jessica-female-5,STRONG_INDEXABLE,2,2,200
/puppies/diana-female-1,STRONG_INDEXABLE,2,2,200
/puppies/lyra-female-5,STRONG_INDEXABLE,2,2,200
/puppies/austin-male-1,STRONG_INDEXABLE,2,2,200
/puppies/giovanni-male-1,STRONG_INDEXABLE,2,2,200
/puppies/kyle-male-3,STRONG_INDEXABLE,2,2,200
/puppies/oscar-male-4,STRONG_INDEXABLE,2,2,200
/puppies/aspen-male-3,STRONG_INDEXABLE,2,2,200
/puppies/jessica-female-4,STRONG_INDEXABLE,2,2,200
/puppies/milo-male-6,STRONG_INDEXABLE,2,2,200
/puppies/melina-female-3,STRONG_INDEXABLE,2,2,200
/puppies/mocha-female,STRONG_INDEXABLE,2,2,200
/puppies/lyra-female-4,STRONG_INDEXABLE,2,2,200
/puppies/grace-female-1,STRONG_INDEXABLE,2,2,200
/puppies/gigi-female-3,STRONG_INDEXABLE,2,2,200
/puppies/roxy-female-4,STRONG_INDEXABLE,2,2,200
/puppies/knox-male,STRONG_INDEXABLE,2,2,200
/puppies/nova-female,STRONG_INDEXABLE,2,2,200
/puppies/esme-female-purchased-by-kim-copy,STRONG_INDEXABLE,2,2,200
/puppies/giselle-female,STRONG_INDEXABLE,2,2,200
/puppies/boo-male-3,STRONG_INDEXABLE,2,2,200
/puppies/bambi-male-2,STRONG_INDEXABLE,2,2,200
/puppies/mason-male-2,STRONG_INDEXABLE,2,2,200
/puppies/louis-male,STRONG_INDEXABLE,2,2,200
/puppies/olivia-female,STRONG_INDEXABLE,2,2,200
/puppies/tippy-female-3,STRONG_INDEXABLE,2,2,200
/puppies/aurora-female,STRONG_INDEXABLE,2,2,200
/puppies/toby-male-5,STRONG_INDEXABLE,2,2,200
/puppies/marco-male-1,STRONG_INDEXABLE,2,2,200
/puppies/kofi-male-2,STRONG_INDEXABLE,2,2,200
/puppies/cloud-female-1,STRONG_INDEXABLE,2,2,200
/puppies/oscar-male-3,STRONG_INDEXABLE,2,2,200
/puppies/lala-female-2,STRONG_INDEXABLE,2,2,200
/puppies/gigi-female-2,STRONG_INDEXABLE,2,2,200
/puppies/bentley-male-4,STRONG_INDEXABLE,2,2,200
/puppies/stella-female-2,STRONG_INDEXABLE,2,2,200
/puppies/glacier-male-1,STRONG_INDEXABLE,2,2,200
/puppies/lady-female,STRONG_INDEXABLE,2,2,200
/puppies/camille-female-3,STRONG_INDEXABLE,2,2,200
/puppies/dolores-female-purchased-by-melbourne-copy,STRONG_INDEXABLE,2,2,200
/puppies/myles-male-3,STRONG_INDEXABLE,2,2,200
/puppies/reese-male,STRONG_INDEXABLE,2,2,200
/puppies/snowy-female,STRONG_INDEXABLE,2,2,200
/puppies/simon-male-4,STRONG_INDEXABLE,2,2,200
/puppies/puff-female-2,STRONG_INDEXABLE,2,2,200
/puppies/chloe-female-3,STRONG_INDEXABLE,2,2,200
/puppies/finn-male,STRONG_INDEXABLE,2,2,200
/puppies/scarlet-female-1,STRONG_INDEXABLE,2,2,200
/puppies/biscuit-male-1,STRONG_INDEXABLE,2,2,200
/puppies/alfie-male,STRONG_INDEXABLE,2,2,200
/puppies/theo-male-1,STRONG_INDEXABLE,2,2,200
/puppies/new-babies-6,STRONG_INDEXABLE,2,2,200
/puppies/emma-female-2,STRONG_INDEXABLE,2,2,200
/puppies/rex-male,STRONG_INDEXABLE,2,2,200
/puppies/lucky-male-1,STRONG_INDEXABLE,2,2,200
/puppies/pico-male,STRONG_INDEXABLE,2,2,200
/puppies/myles-male-2,STRONG_INDEXABLE,2,2,200
/puppies/molly-female-3,STRONG_INDEXABLE,2,2,200
/puppies/kofi-male-1,STRONG_INDEXABLE,2,2,200
/puppies/valentina-female-1,STRONG_INDEXABLE,2,2,200
/puppies/bianca-female,STRONG_INDEXABLE,2,2,200
